Status,Country,Percent
Very happy,Total-w6,33
Rather happy,Total-w6,54.9
Not very happy,Total-w6,10.5
Not at all happy,Total-w6,1.1
No answer,Total-w6,0.3
Don't know,Total-w6,0.2
Very happy,China-w6,15.7
Rather happy,China-w6,68.8
Not very happy,China-w6,13.3
Not at all happy,China-w6,1.1
No answer,China-w6,0.5
Don't know,China-w6,0.7
Very happy,Rwanda-w6,40.6
Rather happy,Rwanda-w6,49.8
Not very happy,Rwanda-w6,8.5
Not at all happy,Rwanda-w6,1
No answer,Rwanda-w6,0
Don't know,Rwanda-w6,0
Very happy,Trinidad and Tobago-w6,54.2
Rather happy,Trinidad and Tobago-w6,33.8
Not very happy,Trinidad and Tobago-w6,11.1
Not at all happy,Trinidad and Tobago-w6,0.9
No answer,Trinidad and Tobago-w6,0
Don't know,Trinidad and Tobago-w6,0
Very happy,United States-w6,36.1
Rather happy,United States-w6,53.5
Not very happy,United States-w6,8.8
Not at all happy,United States-w6,1.2
No answer,United States-w6,0.5
Don't know,United States-w6,0
